# Constructed from biom file
#OTU ID	021715U_0	021715U_7	022214U_2	022214U_3	022214U_4	033114U_10	033114U_11	033114U_12	042014U_4	042014U_5	042014U_6	050213U_1	050213U_10	050213U_12	052014U_14	052014U_15	052014U_4	061914U_1	061914U_8	061914U_9	071513U_1	071513U_7	071513U_8	071514U_10	071514U_11	071514U_12	081714U_1	081714U_5	081714U_6	090413U_17	090413U_18	090413U_19	091714U_10	091714U_13	091714U_9	101914U_1	101914U_2	101914U_8	102313U_11	102313U_12	102313U_3	111914U_20	111914U_8	111914U_9	taxonomy
4844cf2b4a1f54d910af6255ab55f086	12.8205	0.0	8.4848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7383	12.5847	0.0	0.0	288.3347	74.0741	0.0	641.5708	0.0	0.0	32.3529	0.0	6.6179	0.0	0.0	0.0	0.0	60.1202	3.5149	0.0	148.0	138.5965	0.0	0.0	7.6433	37.8788	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
0758cc4a887c64284eef7f56964beaf7	297.4359	12.3711	124.2424	0.0	0.0	0.0	0.0	52.0147	0.0	0.0	0.0	0.0	65.5359	0.0	0.0	21.2972	0.0	0.0	116.1132	0.0	90.4709	66.8258	87.6578	0.0	0.0	0.0	138.2793	15.9396	0.0	0.0	9.4637	24.0481	0.0	182.7586	0.0	0.0	0.0	0.0	0.0	146.4646	0.0	0.0	166.6667	379.1418	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
08f9353db281a053af3acb42eabc7b64	0.0	0.0	0.0	65.0257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.4574	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
9676b750a5fd543ea0b932e0aa8e41c3	20.5128	0.0	0.0	0.0	0.0	0.0	0.0	9.5238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.7289	0.0	0.0	223.8374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0978	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
71dd687823e61db318a5694c9bece95a	0.0	21.6495	0.0	0.0	0.0	0.0	69.7993	0.0	0.0	0.0	8.3763	28.3616	0.0	0.0	5.3691	0.0	17.7209	0.0	0.0	0.0	0.0	0.0	0.0	107.4144	44.1176	0.0	5.9213	0.0	13.5135	0.0	71.2032	8.016	366.1394	0.0	24.0	0.0	0.0	0.0	14.0127	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia
33e3c08c6a2d8b3b9d7f905087abc7bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Rhabdobacter; s__uncultured bacterium
049d5e9ac21fe12bfeed9ab05065d70f	0.0	0.0	0.0	454.1266	0.0	99.1228	0.0	0.0	0.0	70.5159	0.0	41.012	0.0	0.0	0.0	0.0	55.87	0.0	2.5177	0.0	0.0	17.6466	0.0	0.0	0.0	0.0	0.0	9.6477	0.0	39.3765	15.3222	34.0681	0.0	0.0	0.0	0.0	0.0	47.576	0.0	0.0	20.3132	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
8253dc5adc3bc248ec766a6da9f86ffd	0.0	0.0	4.2424	0.0	0.0	0.0	0.0	0.0	10.6182	34.548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
68d1a5ed8a3f89cb528c8f00088e2c80	0.0	0.0	5.0505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
c66314c88698926dde2cd91c8a9572d3	0.0	0.0	0.0	0.5265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium
