# Constructed from biom file
#OTU ID	090413M	101914U	021715M	021715U	042014U	Gravel	022214M	091714U	FlyAsh	Glass	091714M	050213M	071513M	042014M	050213U	081714M	052014M	061914M	Sand	081714U	061914U	090413U	033114M	071513U	033114U	111914U	071514M	102313M	101914M	022214U	102313U	Powder	052014U	111914M	071514U	taxonomy
4844cf2b4a1f54d910af6255ab55f086	20.1042	20.1343	20.0991	13.400500000000001	20.0991	20.0991	20.353	20.1282	20.1198	6.7325	20.1071	20.1064	20.0991	20.113	20.0991	20.1074	20.1164	20.0991	20.0991	20.1035	20.5908	20.1128	20.1019	20.54	20.0991	20.0991	20.549500000000002	20.1178	20.145699999999998	20.1087	20.113500000000002	20.1021	20.105800000000002	20.0991	20.1016	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
0758cc4a887c64284eef7f56964beaf7	19.7179	19.6398	19.875799999999998	13.145	19.6398	19.8917	19.6398	19.8985	19.6513	6.5466	19.6481	19.8539	19.744799999999998	19.6595	19.7074	19.7001	19.6435	19.723100000000002	19.6398	19.8046	20.1931	19.6584	19.6398	20.0963	19.668799999999997	19.9508	20.1101	19.6949	19.6398	19.8598	19.7089	19.6398	19.648899999999998	19.649299999999997	19.6398	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
08f9353db281a053af3acb42eabc7b64	16.404200000000003	16.3968	16.5447	10.9312	16.3968	16.4909	16.3968	16.3968	16.3968	5.4656	16.3968	16.3968	16.3968	16.3968	16.3968	16.3968	16.4026	16.3968	16.3968	16.3968	16.3968	16.3968	16.6018	16.3968	16.3968	16.5411	16.3968	16.3968	16.3968	16.554900000000004	16.3968	16.3968	16.3968	16.3968	16.3968	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
9676b750a5fd543ea0b932e0aa8e41c3	15.900299999999998	15.900299999999998	15.9235	10.6051	15.900299999999998	15.915899999999999	16.2377	15.900299999999998	15.930900000000001	5.3001	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	15.900299999999998	16.3737	15.900299999999998	15.900299999999998	16.3398	15.908199999999999	15.9224	16.363	15.9082	15.900299999999998	15.900299999999998	15.900299999999998	15.9118	15.900299999999998	15.900299999999998	15.900299999999998	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
71dd687823e61db318a5694c9bece95a	17.4936	17.4936	17.4936	11.6771	17.5117	17.511	17.538	18.2821	17.6417	6.1223	17.6452	17.53	17.5097	17.6051	17.5855	17.4936	17.5985	17.9712	17.4936	17.524299999999997	17.4936	17.602899999999998	17.4936	17.4936	17.7362	17.4936	18.2437	17.5947	17.5498	17.4936	17.5165	17.4936	17.6785	17.5	17.5797	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia
33e3c08c6a2d8b3b9d7f905087abc7bd	15.0654	15.0654	15.0654	10.0436	15.0654	15.0654	15.0654	15.0654	15.0654	5.0218	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	16.13	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	15.0654	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Rhabdobacter; s__uncultured bacterium
049d5e9ac21fe12bfeed9ab05065d70f	15.9333	16.0921	15.9333	10.6222	16.1099	15.938199999999998	15.9983	15.9333	15.9333	5.3111	15.9333	16.0462	15.9452	16.1158	16.058999999999997	15.9333	16.034399999999998	15.9333	15.9333	15.9493	15.9622	16.0444	16.0187	16.0822	16.0078	15.9333	15.9333	15.9333	15.9333	16.4389	15.9972	15.9582	16.3366	15.9781	15.9333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
8253dc5adc3bc248ec766a6da9f86ffd	15.252600000000001	15.2573	15.252600000000001	10.1684	15.356300000000001	15.252600000000001	15.252600000000001	15.252600000000001	15.4286	5.0842	15.252600000000001	15.252600000000001	15.252600000000001	15.561900000000001	15.252600000000001	15.252600000000001	15.252600000000001	15.3535	15.317699999999999	15.252600000000001	15.252600000000001	15.252600000000001	15.4786	15.252600000000001	15.252600000000001	15.252600000000001	15.307099999999998	15.254999999999999	15.252600000000001	15.2649	15.252600000000001	15.252600000000001	15.252600000000001	15.252600000000001	15.252600000000001	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
68d1a5ed8a3f89cb528c8f00088e2c80	14.888399999999999	14.888399999999999	14.888399999999999	9.9256	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.9056	4.9628	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	15.9405	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.900599999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.904399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	14.888399999999999	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
c66314c88698926dde2cd91c8a9572d3	14.413799999999998	14.413799999999998	14.413799999999998	9.6092	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.4636	4.8046	14.413799999999998	14.433399999999999	14.413799999999998	14.6229	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.6868	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.4164	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	14.413799999999998	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium
