seqid	freq	prev	p.freq	p.prev	p	contaminant	taxonomy
58e1833fd8845ff26cfd811af7b0734b	0.346445060732349	103	0.9027659948447179	0.4717032967032967	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
53d24f419081d3cfe962d14f70b10626	0.07714476366631402	63	0.5117846027646842	0.7940814040328603	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella
875c3cc2d4959bb96dcd9eda18431e9e	0.037040346947229144	94	0.9513991227426111	0.35752693908033717	NA	TRUE	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
05c51e7d82330e9c1d2df4e1a479fe55	0.03138851312765978	92	0.9469351078432797	0.3349514563106796	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
c6db1658335e89bb2c641da023e9e11e	0.01603334968515703	53	0.6862888379196661	0.9410540915395285	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea
3b298189ac33424b4f1525d049f9b888	0.016422856680942902	94	0.6880460158162619	0.35752693908033717	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
4fa90ee6d113286f13b4ac61794e555d	0.01622094360729264	88	0.9787453867390112	0.29269177424517234	NA	TRUE	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
11f9f564702aa3ae62b2d14fee255794	0.015745362404137236	87	0.9432072623964431	0.28271364557772327	NA	TRUE	k__Bacteria; p__Thermotogae; c__Thermotogae; o__Petrotogales; f__Petrotogaceae; g__Oceanotoga; s__Oceanotoga sp. JC186
65d5c0c97348500e3666eace04820288	0.01427108361960988	97	0.7640923060995715	0.3932572282086845	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium
cd0f6fe66a7ca2d8c5bf4bd4f0086dbf	0.01309102949745838	99	0.9690353823685609	0.41835324869305446	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Neisseriaceae; g__Uruburuella
0bf757a0c04699fca2a8f2dc4b330fd8	0.010259229295009038	50	0.7542105887163943	0.9300250720153633	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea
d68857df1765354e32e14c79c5a6838a	0.01048738992046676	87	0.9882771299567308	0.28271364557772327	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Neisseriaceae; g__Uruburuella
20cd4aaf73199aefea7d373d063a2118	0.009488420229291127	80	0.957893988785972	0.21914008321775313	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
cfae9ea193d742496548e8f8b01774e4	0.009447520123720927	85	0.9999865008826702	0.2634428678117998	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
3dcd708063a4b7b5c846c429bb242eb8	0.00903698222777338	84	0.98056954524686	0.2541448842419717	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
8786190db887aa4201521642ddbb21e7	0.008831382780816929	79	0.9662039233477082	0.21092233009708738	NA	TRUE	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Acetoanaerobium; s__uncultured bacterium
c6459ad769d5a38d5c73b521aa9a2cd8	0.007050556369016489	76	0.516634176671557	0.18750666808919236	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
f3833dbe12a033d3e5dc08a4f8465280	0.00967983943973012	36	0.43209616708581594	0.49524165155233124	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
c76c9855c5b4a6b0f243dbf160fa3377	0.006020896104628829	23	0.4043089540262579	0.7637896084498028	NA	TRUE	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
1f3fe07cb238314d51860c1c1c2f2df6	0.010610491082315892	39	0.29115024966384484	0.02437586685159502	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter
ad4f34e8f15c2c5a3bb3966638bf296e	0.005654844427038879	44	0.7501229143019096	0.9040061879867705	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
7e71fc85f1b17f1eac85026dca9d522b	0.005924454136027486	77	0.9935723125957245	0.19510828976848382	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter
a4cb076d6a94cf2013068f43a67cc1be	0.005402194950894789	39	0.675196919886903	0.8779472954230236	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea
688fc0c86aee1e711548246f862ef636	0.006003428041365162	89	0.4902434427602275	0.7729222234076604	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
905a2db13714059ef26b015f0669fa47	0.004907695886839294	60	0.9189064150385947	0.09127280486503792	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium
703586b90da70f5a4e90eaeef012cc71	0.005039268028332336	80	0.9971743957189266	0.6489917849141149	NA	TRUE	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__Vibrio metschnikovii
